,LMA,MinPrice,MaxPrice,MARKET,STRATEGY,OUT
1359,280,18,2,1.5429163159997616,1.0,-0.5429163159997616
1358,280,16,18,1.5429163159997616,1.0,-0.5429163159997616
1357,280,16,16,1.5429163159997616,1.0,-0.5429163159997616
1356,280,16,14,1.5429163159997616,1.0,-0.5429163159997616
1355,280,16,12,1.5429163159997616,1.0,-0.5429163159997616
1354,280,16,10,1.5429163159997616,1.0,-0.5429163159997616
1334,280,12,6,1.5429163159997616,1.0,-0.5429163159997616
1349,280,14,18,1.5429163159997616,1.0,-0.5429163159997616
1332,280,12,2,1.5429163159997616,1.0,-0.5429163159997616
1304,280,4,18,1.5429163159997616,1.0,-0.5429163159997616
1311,280,6,14,1.5429163159997616,1.0,-0.5429163159997616
1310,280,6,12,1.5429163159997616,1.0,-0.5429163159997616
1309,280,6,10,1.5429163159997616,1.0,-0.5429163159997616
1308,280,6,8,1.5429163159997616,1.0,-0.5429163159997616
1306,280,6,4,1.5429163159997616,1.0,-0.5429163159997616
1305,280,6,2,1.5429163159997616,1.0,-0.5429163159997616
1303,280,4,16,1.5429163159997616,1.0,-0.5429163159997616
1313,280,6,18,1.5429163159997616,1.0,-0.5429163159997616
1302,280,4,14,1.5429163159997616,1.0,-0.5429163159997616
1301,280,4,12,1.5429163159997616,1.0,-0.5429163159997616
1300,280,4,10,1.5429163159997616,1.0,-0.5429163159997616
1299,280,4,8,1.5429163159997616,1.0,-0.5429163159997616
1298,280,4,6,1.5429163159997616,1.0,-0.5429163159997616
1331,280,10,18,1.5429163159997616,1.0,-0.5429163159997616
1312,280,6,16,1.5429163159997616,1.0,-0.5429163159997616
1307,280,6,6,1.5429163159997616,1.0,-0.5429163159997616
1329,280,10,14,1.5429163159997616,1.0,-0.5429163159997616
1322,280,8,18,1.5429163159997616,1.0,-0.5429163159997616
1330,280,10,16,1.5429163159997616,1.0,-0.5429163159997616
1315,280,8,4,1.5429163159997616,1.0,-0.5429163159997616
1328,280,10,12,1.5429163159997616,1.0,-0.5429163159997616
1327,280,10,10,1.5429163159997616,1.0,-0.5429163159997616
1326,280,10,8,1.5429163159997616,1.0,-0.5429163159997616
1324,280,10,4,1.5429163159997616,1.0,-0.5429163159997616
1323,280,10,2,1.5429163159997616,1.0,-0.5429163159997616
1325,280,10,6,1.5429163159997616,1.0,-0.5429163159997616
1321,280,8,16,1.5429163159997616,1.0,-0.5429163159997616
1320,280,8,14,1.5429163159997616,1.0,-0.5429163159997616
1319,280,8,12,1.5429163159997616,1.0,-0.5429163159997616
1318,280,8,10,1.5429163159997616,1.0,-0.5429163159997616
1317,280,8,8,1.5429163159997616,1.0,-0.5429163159997616
1316,280,8,6,1.5429163159997616,1.0,-0.5429163159997616
1171,260,8,4,1.575018738820436,1.0,-0.575018738820436
1178,260,8,18,1.575018738820436,1.0,-0.575018738820436
1172,260,8,6,1.575018738820436,1.0,-0.575018738820436
1173,260,8,8,1.575018738820436,1.0,-0.575018738820436
1174,260,8,10,1.575018738820436,1.0,-0.575018738820436
1175,260,8,12,1.575018738820436,1.0,-0.575018738820436
1176,260,8,14,1.575018738820436,1.0,-0.575018738820436
1177,260,8,16,1.575018738820436,1.0,-0.575018738820436
1185,260,10,14,1.575018738820436,1.0,-0.575018738820436
1179,260,10,2,1.575018738820436,1.0,-0.575018738820436
1180,260,10,4,1.575018738820436,1.0,-0.575018738820436
1181,260,10,6,1.575018738820436,1.0,-0.575018738820436
1182,260,10,8,1.575018738820436,1.0,-0.575018738820436
1183,260,10,10,1.575018738820436,1.0,-0.575018738820436
1184,260,10,12,1.575018738820436,1.0,-0.575018738820436
1169,260,6,18,1.575018738820436,1.0,-0.575018738820436
1170,260,8,2,1.575018738820436,1.0,-0.575018738820436
