<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,5,20201214,031500,19135.3,19135.3,19121,19122.2,0,0
BTC.V,5,20201214,032000,19126.8,19131.3,19121.1,19127.9,0,0
BTC.V,5,20201214,032500,19127.5,19183.1,19127.5,19182.5,0,0
BTC.V,5,20201214,033000,19182.6,19182.6,19169.2,19182.5,0,0
BTC.V,5,20201214,033500,19180.9,19207.5,19180.9,19205.5,0,0
BTC.V,5,20201214,034000,19208.3,19212.9,19195,19212.9,0,0
BTC.V,5,20201214,034500,19214.9,19230.8,19211,19224.4,0,0
BTC.V,5,20201214,035000,19223.9,19266,19223.9,19266,0,0
BTC.V,5,20201214,035500,19277.2,19298,19264.3,19294.8,0,0
BTC.V,5,20201214,040000,19297,19324.9,19275.8,19324.9,0,0
BTC.V,5,20201214,040500,19311.2,19324.5,19304.9,19322.6,0,0
BTC.V,5,20201214,041000,19321.4,19332.6,19305.4,19319.3,0,0
BTC.V,5,20201214,041500,19317,19317.7,19287.9,19288.8,0,0
BTC.V,5,20201214,042000,19285.8,19288.4,19258.8,19260.3,0,0
BTC.V,5,20201214,042500,19259.6,19266.8,19252.2,19266.8,0,0
BTC.V,5,20201214,043000,19265.9,19268.6,19236.4,19256,0,0
BTC.V,5,20201214,043500,19263.9,19263.9,19245.7,19250.3,0,0
BTC.V,5,20201214,044000,19250.7,19276.1,19243.3,19260.8,0,0
BTC.V,5,20201214,044500,19262.8,19273.9,19246.8,19255.3,0,0
BTC.V,5,20201214,045000,19255,19257.1,19243.3,19257.1,0,0
BTC.V,5,20201214,045500,19256.9,19268.3,19250,19268.3,0,0
BTC.V,5,20201214,050000,19267.5,19271.7,19248.4,19270.1,0,0
BTC.V,5,20201214,050500,19274.2,19279.5,19274.2,19279.5,0,0
BTC.V,5,20201214,051000,19279.8,19279.8,19272.3,19272.3,0,0
BTC.V,5,20201214,051500,19271.8,19272.2,19164.9,19164.9,0,0
BTC.V,5,20201214,052000,19126.3,19155.9,19108.6,19139.9,0,0
BTC.V,5,20201214,052500,19136.2,19136.2,19077.7,19111.9,0,0
BTC.V,5,20201214,053000,19106.2,19119.6,19092.7,19116,0,0
BTC.V,5,20201214,053500,19122,19122,19060.6,19064.3,0,0
