<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,60,20200623,150000,9635.55,9647.59,9616.78,9634.59,0,0
BTC.V,60,20200623,160000,9634.69,9645.64,9617.29,9640.38,0,0
BTC.V,60,20200623,170000,9640.01,9665.4,9627.01,9644.58,0,0
BTC.V,60,20200623,180000,9643.34,9689.26,9637.44,9687.63,0,0
BTC.V,60,20200623,190000,9688.21,9690.61,9657.84,9661.27,0,0
BTC.V,60,20200623,200000,9661.4,9668.82,9641.44,9665.53,0,0
BTC.V,60,20200623,210000,9663.67,9682.77,9645.68,9656.81,0,0
BTC.V,60,20200623,220000,9656.76,9670.47,9647.74,9649.17,0,0
BTC.V,60,20200623,230000,9648.33,9663.63,9631.8,9632.7,0,0
BTC.V,60,20200623,235900,9632.8,9650.9,9603.24,9649.24,0,0
BTC.V,60,20200624,010000,9648.6,9652.21,9598.91,9611.98,0,0
BTC.V,60,20200624,020000,9612.52,9624.57,9601.42,9624.57,0,0
BTC.V,60,20200624,030000,9624.3,9643.26,9622.12,9625.13,0,0
BTC.V,60,20200624,040000,9625.47,9649.98,9614.67,9647.33,0,0
BTC.V,60,20200624,050000,9646.92,9664.38,9636.69,9656.99,0,0
BTC.V,60,20200624,060000,9657.02,9660.41,9638.53,9645.72,0,0
BTC.V,60,20200624,070000,9645.71,9661.82,9638.69,9651.35,0,0
BTC.V,60,20200624,080000,9651.35,9656.65,9636.99,9642.54,0,0
BTC.V,60,20200624,090000,9642.91,9663.22,9642.54,9655.36,0,0
BTC.V,60,20200624,100000,9655.86,9659.63,9502.99,9502.99,0,0
BTC.V,60,20200624,110000,9505.33,9539.01,9488.19,9517.06,0,0
BTC.V,60,20200624,120000,9516.36,9526.3,9491.88,9518.57,0,0
BTC.V,60,20200624,130000,9519.59,9519.67,9353.26,9369.39,0,0
BTC.V,60,20200624,140000,9369.19,9402.35,9320.88,9322.37,0,0
BTC.V,60,20200624,150000,9322.84,9387.24,9295.45,9383.91,0,0
BTC.V,60,20200624,160000,9382.79,9415.54,9343.25,9343.25,0,0
BTC.V,60,20200624,170000,9343.3,9355.44,9296.88,9298.24,0,0
BTC.V,60,20200624,180000,9296.96,9321.4,9209,9244.64,0,0
BTC.V,60,20200624,190000,9244.79,9305.43,9237.12,9297.21,0,0
BTC.V,60,20200624,200000,9298.21,9313.9,9276.24,9294.47,0,0
BTC.V,60,20200624,210000,9299.34,9327.99,9291.18,9308.5,0,0
BTC.V,60,20200624,220000,9308.71,9332.53,9286.65,9294.92,0,0
BTC.V,60,20200624,230000,9293.5,9316.52,9281.08,9291.88,0,0
BTC.V,60,20200624,235900,9290.74,9294.6,9232.28,9265.66,0,0
BTC.V,60,20200625,010000,9265.2,9290.49,9261.34,9290.49,0,0
BTC.V,60,20200625,020000,9290.48,9312.68,9275.84,9282.08,0,0
BTC.V,60,20200625,030000,9293.02,9293.02,9248.26,9260.69,0,0
BTC.V,60,20200625,040000,9258.99,9297.54,9258.98,9275.56,0,0
BTC.V,60,20200625,050000,9269.62,9275.68,9218.98,9243.79,0,0
BTC.V,60,20200625,060000,9244.77,9244.95,9005.67,9088.81,0,0
BTC.V,60,20200625,070000,9087.63,9141.11,9080.86,9112.59,0,0
BTC.V,60,20200625,080000,9112.34,9187.52,9097.17,9170.79,0,0
BTC.V,60,20200625,090000,9172.49,9191.76,9158.28,9181.35,0,0
BTC.V,60,20200625,100000,9181.24,9182.92,9140.68,9164.25,0,0
BTC.V,60,20200625,110000,9166.36,9319.33,9166.36,9292.02,0,0
BTC.V,60,20200625,120000,9293.2,9306.98,9248.85,9248.85,0,0
BTC.V,60,20200625,130000,9247.98,9274.34,9246.09,9267.33,0,0
BTC.V,60,20200625,140000,9266.65,9287.2,9254.01,9254.3,0,0
BTC.V,60,20200625,150000,9254.9,9258.19,9169.86,9178.46,0,0
BTC.V,60,20200625,160000,9178.65,9234.56,9169.84,9187.99,0,0
BTC.V,60,20200625,170000,9191.06,9260.52,9191.06,9250.34,0,0
BTC.V,60,20200625,180000,9250.25,9250.41,9213.9,9233.71,0,0
BTC.V,60,20200625,190000,9233.97,9290.9,9211.14,9287.74,0,0
BTC.V,60,20200625,200000,9288.1,9291.77,9267.78,9277.34,0,0
BTC.V,60,20200625,210000,9281.53,9285.6,9248.68,9251.61,0,0
BTC.V,60,20200625,220000,9251.71,9295.25,9240.06,9282.75,0,0
BTC.V,60,20200625,230000,9283.64,9299.96,9272.82,9276.04,0,0
BTC.V,60,20200625,235900,9276.04,9328.81,9275.26,9301.57,0,0
BTC.V,60,20200626,010000,9301.64,9309.94,9218.88,9257.11,0,0
BTC.V,60,20200626,020000,9255.78,9260.91,9234.43,9241.6,0,0
BTC.V,60,20200626,030000,9241.36,9283.42,9189.76,9279.27,0,0
BTC.V,60,20200626,040000,9279.45,9288.92,9244.95,9244.95,0,0
BTC.V,60,20200626,050000,9245.6,9255.41,9229.61,9251.98,0,0
BTC.V,60,20200626,060000,9251.52,9251.52,9225.55,9240.2,0,0
BTC.V,60,20200626,070000,9240.19,9260.12,9227.08,9251.68,0,0
BTC.V,60,20200626,080000,9251.57,9261.03,9203.21,9208.09,0,0
BTC.V,60,20200626,090000,9207.59,9224.2,9185.35,9208.05,0,0
BTC.V,60,20200626,100000,9208.26,9208.26,9099.44,9110.29,0,0
BTC.V,60,20200626,110000,9111.17,9151.22,9106.28,9128.04,0,0
BTC.V,60,20200626,120000,9129.49,9220.29,9095.27,9204.15,0,0
BTC.V,60,20200626,130000,9203.84,9243.48,9195.18,9211.02,0,0
BTC.V,60,20200626,140000,9211.25,9214.96,9148.06,9175.29,0,0
BTC.V,60,20200626,150000,9176.31,9214.86,9176.31,9206.25,0,0
BTC.V,60,20200626,160000,9206.41,9226.44,9147.51,9150.19,0,0
BTC.V,60,20200626,170000,9149.12,9149.53,9045.11,9082.01,0,0
BTC.V,60,20200626,180000,9082.95,9187.8,9078.63,9144.71,0,0
BTC.V,60,20200626,190000,9146.86,9149.61,9092.67,9149.13,0,0
BTC.V,60,20200626,200000,9148.73,9174.96,9143.39,9149.74,0,0
BTC.V,60,20200626,210000,9153.63,9175.65,9137.33,9139.15,0,0
BTC.V,60,20200626,220000,9137.74,9164.12,9130.66,9164.09,0,0
BTC.V,60,20200626,230000,9164.78,9206.23,9164.78,9193.98,0,0
BTC.V,60,20200626,235900,9192.2,9209.71,9173.87,9174.83,0,0
BTC.V,60,20200627,010000,9175.15,9199.68,9160.15,9170.75,0,0
BTC.V,60,20200627,020000,9171.23,9173.6,9147.83,9157.36,0,0
BTC.V,60,20200627,030000,9158.09,9161.86,9111.29,9138.18,0,0
BTC.V,60,20200627,040000,9138.57,9148.22,9102.53,9145.82,0,0
BTC.V,60,20200627,050000,9144.95,9152.03,9114.63,9136.88,0,0
BTC.V,60,20200627,060000,9136.87,9176.59,9128.73,9154.34,0,0
BTC.V,60,20200627,070000,9155.09,9169.21,9129.14,9155.18,0,0
BTC.V,60,20200627,080000,9155.8,9166.46,9140.71,9160.5,0,0
BTC.V,60,20200627,090000,9160.72,9187.01,9148.43,9175.65,0,0
BTC.V,60,20200627,100000,9175.71,9180.54,9159.04,9170.95,0,0
BTC.V,60,20200627,110000,9171.11,9190.25,9153.4,9159.31,0,0
BTC.V,60,20200627,120000,9159.22,9163.99,9138.06,9139.56,0,0
BTC.V,60,20200627,130000,9139.53,9161.95,9134.97,9142.52,0,0
BTC.V,60,20200627,140000,9141.9,9183.15,9131.72,9158.46,0,0
BTC.V,60,20200627,150000,9157.96,9178.68,9147.38,9161.15,0,0
BTC.V,60,20200627,160000,9162.13,9177.42,9145.72,9158.02,0,0
