<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MATIC.V,D,20201011,000000,0.01752,0.01815,0.01712,0.01745,0,0
MATIC.V,D,20201012,000000,0.01744,0.01854,0.01743,0.01836,0,0
MATIC.V,D,20201013,000000,0.01836,0.01838,0.0174,0.01776,0,0
MATIC.V,D,20201014,000000,0.01775,0.01802,0.01706,0.01719,0,0
MATIC.V,D,20201015,000000,0.01719,0.01752,0.01658,0.01726,0,0
MATIC.V,D,20201016,000000,0.01725,0.01728,0.01595,0.01634,0,0
MATIC.V,D,20201017,000000,0.01634,0.01684,0.01602,0.01668,0,0
MATIC.V,D,20201018,000000,0.01668,0.01709,0.0165,0.01685,0,0
MATIC.V,D,20201019,000000,0.01685,0.01695,0.01617,0.01634,0,0
MATIC.V,D,20201020,000000,0.01634,0.01641,0.01532,0.01551,0,0
MATIC.V,D,20201021,000000,0.01563,0.01695,0.01547,0.01669,0,0
MATIC.V,D,20201022,000000,0.01668,0.01799,0.01601,0.01776,0,0
MATIC.V,D,20201023,000000,0.01776,0.01782,0.01654,0.01705,0,0
MATIC.V,D,20201024,000000,0.01705,0.01786,0.01678,0.01766,0,0
MATIC.V,D,20201025,000000,0.01766,0.01798,0.01715,0.01719,0,0
MATIC.V,D,20201026,000000,0.01719,0.01781,0.0161,0.01645,0,0
MATIC.V,D,20201027,000000,0.01645,0.01676,0.01557,0.01566,0,0
MATIC.V,D,20201028,000000,0.01566,0.0162,0.01485,0.01499,0,0
MATIC.V,D,20201029,000000,0.01499,0.01543,0.01367,0.01368,0,0
MATIC.V,D,20201030,000000,0.01368,0.01416,0.0129,0.01398,0,0
MATIC.V,D,20201031,000000,0.01398,0.01422,0.01356,0.01388,0,0
MATIC.V,D,20201101,000000,0.01388,0.01441,0.01355,0.01411,0,0
MATIC.V,D,20201102,000000,0.01425,0.01452,0.01341,0.01372,0,0
MATIC.V,D,20201103,000000,0.01372,0.01387,0.01254,0.01286,0,0
MATIC.V,D,20201104,000000,0.01287,0.01304,0.01163,0.01229,0,0
MATIC.V,D,20201105,000000,0.0123,0.01371,0.01203,0.01354,0,0
MATIC.V,D,20201106,000000,0.01354,0.016,0.01331,0.01545,0,0
MATIC.V,D,20201107,000000,0.01545,0.01714,0.01393,0.01462,0,0
MATIC.V,D,20201108,000000,0.01462,0.01626,0.01417,0.01581,0,0
MATIC.V,D,20201109,000000,0.01581,0.01677,0.01533,0.01553,0,0
MATIC.V,D,20201110,000000,0.01553,0.01752,0.01542,0.0175,0,0
MATIC.V,D,20201111,000000,0.01748,0.01786,0.01655,0.01666,0,0
MATIC.V,D,20201112,000000,0.01665,0.01737,0.01574,0.01586,0,0
MATIC.V,D,20201113,000000,0.01581,0.01719,0.01575,0.01688,0,0
MATIC.V,D,20201114,000000,0.01688,0.01698,0.01595,0.01673,0,0
MATIC.V,D,20201115,000000,0.01673,0.01708,0.01586,0.01624,0,0
MATIC.V,D,20201116,000000,0.01626,0.01688,0.0162,0.01659,0,0
MATIC.V,D,20201117,000000,0.0166,0.01823,0.01655,0.01778,0,0
MATIC.V,D,20201118,000000,0.01778,0.01876,0.01647,0.01705,0,0
MATIC.V,D,20201119,000000,0.01703,0.01805,0.01673,0.01716,0,0
MATIC.V,D,20201120,000000,0.01716,0.01838,0.01703,0.01778,0,0
MATIC.V,D,20201121,000000,0.01785,0.01947,0.01763,0.01893,0,0
MATIC.V,D,20201122,000000,0.01893,0.02011,0.01795,0.0196,0,0
MATIC.V,D,20201123,000000,0.01962,0.02158,0.01883,0.02105,0,0
MATIC.V,D,20201124,000000,0.02106,0.02255,0.0204,0.02139,0,0
MATIC.V,D,20201125,000000,0.02139,0.02389,0.02076,0.02181,0,0
MATIC.V,D,20201126,000000,0.02184,0.02184,0.01573,0.01776,0,0
MATIC.V,D,20201127,000000,0.01776,0.01852,0.01671,0.01743,0,0
MATIC.V,D,20201128,000000,0.01743,0.01892,0.01723,0.01884,0,0
MATIC.V,D,20201129,000000,0.01884,0.01901,0.01825,0.01871,0,0
MATIC.V,D,20201130,000000,0.0187,0.01976,0.01846,0.01958,0,0
MATIC.V,D,20201201,000000,0.01957,0.02012,0.01791,0.01885,0,0
MATIC.V,D,20201202,000000,0.01883,0.01949,0.01832,0.01932,0,0
MATIC.V,D,20201203,000000,0.01932,0.02099,0.01903,0.02074,0,0
MATIC.V,D,20201204,000000,0.02074,0.02112,0.01858,0.0187,0,0
MATIC.V,D,20201205,000000,0.01876,0.0196,0.01831,0.01951,0,0
MATIC.V,D,20201206,000000,0.01949,0.02014,0.01898,0.01928,0,0
MATIC.V,D,20201207,000000,0.01928,0.01965,0.01896,0.01924,0,0
MATIC.V,D,20201208,000000,0.01924,0.01927,0.01767,0.01767,0,0
MATIC.V,D,20201209,000000,0.01767,0.01817,0.01659,0.01811,0,0
MATIC.V,D,20201210,000000,0.01811,0.01815,0.01709,0.01797,0,0
MATIC.V,D,20201211,000000,0.01778,0.01801,0.01689,0.01769,0,0
MATIC.V,D,20201212,000000,0.01769,0.01811,0.01742,0.01796,0,0
MATIC.V,D,20201213,000000,0.01796,0.01844,0.01783,0.01811,0,0
MATIC.V,D,20201214,000000,0.01811,0.0186,0.01794,0.01845,0,0
MATIC.V,D,20201215,000000,0.01845,0.01988,0.01829,0.01965,0,0
MATIC.V,D,20201216,000000,0.01965,0.01989,0.01874,0.01962,0,0
MATIC.V,D,20201217,000000,0.01962,0.01977,0.01864,0.01895,0,0
MATIC.V,D,20201218,000000,0.01896,0.0208,0.01865,0.02056,0,0
MATIC.V,D,20201219,000000,0.02056,0.02085,0.0198,0.02009,0,0
MATIC.V,D,20201220,000000,0.02009,0.02033,0.01873,0.01907,0,0
MATIC.V,D,20201221,000000,0.01907,0.01969,0.01796,0.01846,0,0
MATIC.V,D,20201222,000000,0.01849,0.01878,0.0174,0.0185,0,0
MATIC.V,D,20201223,000000,0.01845,0.01872,0.01448,0.01505,0,0
MATIC.V,D,20201224,000000,0.01503,0.01656,0.01471,0.01633,0,0
MATIC.V,D,20201225,000000,0.01642,0.01714,0.01596,0.01643,0,0
MATIC.V,D,20201226,000000,0.01643,0.01977,0.01626,0.01942,0,0
MATIC.V,D,20201227,000000,0.01942,0.02005,0.01771,0.01846,0,0
MATIC.V,D,20201228,000000,0.01846,0.0196,0.01809,0.01884,0,0
MATIC.V,D,20201229,000000,0.01884,0.01909,0.01774,0.01807,0,0
MATIC.V,D,20201230,000000,0.01807,0.01899,0.01788,0.01801,0,0
