trade_id,price,size,time,bid,ask,volume,std_dev
158145550,56070,0.00961635,2021-04-19T21:35:36.604094Z,56069.99,56070,16752.0351237,31.803158964742824
158145676,56104.85,0.00170537,2021-04-19T21:36:06.913728Z,56089.69,56104.16,16756.1335057,39.51266784382814
158145792,56094.57,0.00873817,2021-04-19T21:36:36.805365Z,56094.56,56094.57,16756.1335057,33.15992195612966
158145951,56134.24,0.00355046,2021-04-19T21:37:06.757285Z,56134.23,56134.24,16757.71518401,27.089025824796153
158146054,56136.76,0.00359861,2021-04-19T21:37:36.453602Z,56136.76,56136.77,16759.57490482,25.09951123301973
158146242,56164.8,0.004005,2021-04-19T21:38:06.729245Z,56164.79,56164.8,16759.57490482,24.975319500187464
158146366,56162.6,0.00300569,2021-04-19T21:38:36.652548Z,56162.6,56162.61,16764.26938332,25.39084843278049
158146518,56169.71,0.00412286,2021-04-19T21:39:06.641439Z,56169.71,56169.72,16764.26938332,14.99576527345248
158146653,56176.56,0.00171838,2021-04-19T21:39:36.863085Z,56176.55,56176.56,16766.95205674,13.54000236840801
158146772,56183.59,0.00872554,2021-04-19T21:40:06.497169Z,56175.48,56184.23,16770.10490891,7.733877173615059
158146888,56193.62,0.00012429,2021-04-19T21:40:36.882776Z,56193.62,56193.63,16770.10490891,10.771415140853323
158147290,56344.03,0.0004157,2021-04-19T21:41:06.959681Z,56344.02,56344.03,16772.00500661,65.74196693236699
158147573,56433.48,0.00265798,2021-04-19T21:41:36.998162Z,56414.65,56433.47,16772.00500661,104.08428288717143
158147721,56424.06,0.00015901,2021-04-19T21:42:07.058086Z,56424.05,56424.06,16784.60960958,108.41878962678217
158147920,56499.93,0.00099917,2021-04-19T21:42:36.716481Z,56499.92,56499.93,16790.39585398,105.08204539376011
158148291,56595.17,0.00084437,2021-04-19T21:43:06.78781Z,56588.87,56593.89,16790.39585398,84.03231630828937
158148502,56435.34,0.00023819,2021-04-19T21:43:36.9325Z,56424.4,56435.34,16811.92115275,64.68438346414325
158148657,56535,0.00152331,2021-04-19T21:44:06.804515Z,56528.78,56531.08,16811.92115275,63.57370997618543
